State,Year,Quarter,District,RegisteredUsers
arunachal-pradesh,2018,3,papum pare district,43282
arunachal-pradesh,2018,3,kurung kumey district,255
arunachal-pradesh,2018,3,anjaw district,13
arunachal-pradesh,2018,3,siang district,615
arunachal-pradesh,2018,3,lower siang district,2625
arunachal-pradesh,2018,3,kra daadi district,436
arunachal-pradesh,2018,3,changlang district,10162
arunachal-pradesh,2018,3,pakke kessang district,165
arunachal-pradesh,2018,3,dibang valley district,29
arunachal-pradesh,2018,3,west kameng district,17026
arunachal-pradesh,2018,3,east siang district,10539
arunachal-pradesh,2018,3,upper subansiri district,1601
arunachal-pradesh,2018,3,east kameng district,1029
arunachal-pradesh,2018,3,lohit district,11595
arunachal-pradesh,2018,3,lepa rada district,523
arunachal-pradesh,2018,3,tawang district,8715
arunachal-pradesh,2018,3,namsai district,5076
arunachal-pradesh,2018,4,lower dibang valley district,4227
arunachal-pradesh,2018,4,lower subansiri district,3735
arunachal-pradesh,2018,4,longding district,6581
arunachal-pradesh,2018,4,west siang district,3813
arunachal-pradesh,2018,4,kamle district,247
arunachal-pradesh,2018,4,upper siang district,1041
arunachal-pradesh,2018,4,tirap district,5725
arunachal-pradesh,2018,4,papum pare district,55224
arunachal-pradesh,2018,4,kurung kumey district,444
arunachal-pradesh,2018,4,anjaw district,273
arunachal-pradesh,2018,4,siang district,822
arunachal-pradesh,2018,4,lower siang district,2883
arunachal-pradesh,2018,4,kra daadi district,750
arunachal-pradesh,2018,4,changlang district,13950
arunachal-pradesh,2018,4,pakke kessang district,297
arunachal-pradesh,2018,4,dibang valley district,40
arunachal-pradesh,2018,4,west kameng district,25439
arunachal-pradesh,2018,4,shi yomi district,61
arunachal-pradesh,2018,4,east siang district,12893
arunachal-pradesh,2018,4,upper subansiri district,2686
arunachal-pradesh,2018,4,east kameng district,1750
arunachal-pradesh,2018,4,lohit district,14268
arunachal-pradesh,2018,4,lepa rada district,932
arunachal-pradesh,2018,4,tawang district,11104
arunachal-pradesh,2018,4,namsai district,7244
arunachal-pradesh,2019,1,lower dibang valley district,6314
arunachal-pradesh,2019,1,lower subansiri district,4994
arunachal-pradesh,2019,1,longding district,7287
arunachal-pradesh,2019,1,west siang district,5921
arunachal-pradesh,2019,1,kamle district,391
arunachal-pradesh,2019,1,upper siang district,1154
arunachal-pradesh,2019,1,tirap district,6877
arunachal-pradesh,2019,1,papum pare district,70941
arunachal-pradesh,2019,1,kurung kumey district,740
arunachal-pradesh,2019,1,anjaw district,2116
arunachal-pradesh,2019,1,siang district,1282
arunachal-pradesh,2019,1,lower siang district,3565
arunachal-pradesh,2019,1,kra daadi district,1070
arunachal-pradesh,2019,1,changlang district,17589
arunachal-pradesh,2019,1,pakke kessang district,545
arunachal-pradesh,2019,1,dibang valley district,102
arunachal-pradesh,2019,1,west kameng district,34289
arunachal-pradesh,2019,1,shi yomi district,19
arunachal-pradesh,2019,1,east siang district,15621
arunachal-pradesh,2019,1,upper subansiri district,3880
arunachal-pradesh,2019,1,east kameng district,2688
arunachal-pradesh,2019,1,lohit district,15896
arunachal-pradesh,2019,1,lepa rada district,1523
arunachal-pradesh,2019,1,tawang district,13102
arunachal-pradesh,2019,1,namsai district,8600
arunachal-pradesh,2019,2,lower dibang valley district,5819
arunachal-pradesh,2019,2,lower subansiri district,5579
arunachal-pradesh,2019,2,longding district,6744
arunachal-pradesh,2019,2,west siang district,8041
arunachal-pradesh,2019,2,kamle district,414
arunachal-pradesh,2019,2,upper siang district,1079
arunachal-pradesh,2019,2,tirap district,6868
arunachal-pradesh,2019,2,papum pare district,86433
arunachal-pradesh,2019,2,kurung kumey district,1427
arunachal-pradesh,2019,2,anjaw district,2473
arunachal-pradesh,2019,2,siang district,1654
arunachal-pradesh,2019,2,lower siang district,3791
arunachal-pradesh,2019,2,kra daadi district,1447
arunachal-pradesh,2019,2,changlang district,18631
arunachal-pradesh,2019,2,pakke kessang district,687
arunachal-pradesh,2019,2,dibang valley district,98
arunachal-pradesh,2019,2,west kameng district,37430
arunachal-pradesh,2019,2,shi yomi district,13
arunachal-pradesh,2019,2,east siang district,16494
arunachal-pradesh,2019,2,upper subansiri district,4827
arunachal-pradesh,2019,2,east kameng district,2309
arunachal-pradesh,2019,2,lohit district,18693
arunachal-pradesh,2019,2,lepa rada district,2108
arunachal-pradesh,2019,2,tawang district,15960
arunachal-pradesh,2019,2,namsai district,9637
arunachal-pradesh,2019,3,lower dibang valley district,8405
arunachal-pradesh,2019,3,lower subansiri district,8828
arunachal-pradesh,2019,3,longding district,10269
arunachal-pradesh,2019,3,west siang district,11889
arunachal-pradesh,2019,3,kamle district,677
arunachal-pradesh,2019,3,upper siang district,1419
arunachal-pradesh,2019,3,tirap district,11249
arunachal-pradesh,2019,3,papum pare district,117940
arunachal-pradesh,2019,3,kurung kumey district,1579
arunachal-pradesh,2019,3,anjaw district,4230
arunachal-pradesh,2019,3,siang district,2640
arunachal-pradesh,2019,3,lower siang district,5348
arunachal-pradesh,2019,3,kra daadi district,2187
arunachal-pradesh,2019,3,changlang district,29218
arunachal-pradesh,2019,3,pakke kessang district,977
arunachal-pradesh,2019,3,dibang valley district,202
arunachal-pradesh,2019,3,west kameng district,53939
arunachal-pradesh,2019,3,shi yomi district,27
arunachal-pradesh,2019,3,east siang district,22611
arunachal-pradesh,2019,3,upper subansiri district,7803
arunachal-pradesh,2019,3,east kameng district,3814
arunachal-pradesh,2019,3,lohit district,24505
arunachal-pradesh,2019,3,lepa rada district,2928
arunachal-pradesh,2019,3,tawang district,24097
arunachal-pradesh,2019,3,namsai district,13453
arunachal-pradesh,2019,4,lower dibang valley district,10376
arunachal-pradesh,2019,4,lower subansiri district,11806
arunachal-pradesh,2019,4,longding district,11018
arunachal-pradesh,2019,4,west siang district,14581
arunachal-pradesh,2019,4,kamle district,999
arunachal-pradesh,2019,4,upper siang district,4165
arunachal-pradesh,2019,4,tirap district,16459
arunachal-pradesh,2019,4,papum pare district,143272
arunachal-pradesh,2019,4,kurung kumey district,1343
arunachal-pradesh,2019,4,anjaw district,5417
arunachal-pradesh,2019,4,siang district,4756
arunachal-pradesh,2019,4,lower siang district,6628
arunachal-pradesh,2019,4,kra daadi district,2830
arunachal-pradesh,2019,4,changlang district,33963
arunachal-pradesh,2019,4,pakke kessang district,1194
arunachal-pradesh,2019,4,dibang valley district,267
arunachal-pradesh,2019,4,west kameng district,66740
arunachal-pradesh,2019,4,shi yomi district,232
arunachal-pradesh,2019,4,east siang district,26605
arunachal-pradesh,2019,4,upper subansiri district,9285
arunachal-pradesh,2019,4,east kameng district,5646
arunachal-pradesh,2019,4,lohit district,29281
